# Data extracted from Teng et al (1998; doi:10.1126/science.282.5389.724), Fig 3
type,sigma,L,v
acute,0.826,38.944322289686696,6.752234534718519
acute,0.826,48.6189382949095,10.3914983971387
acute,0.826,66.68672720739241,16.214917246616057
acute,0.826,79.59335503781843,17.338492010643588
acute,0.826,34.01365333462545,0.007840850579575833
obtuse,0.826,49.90006473112433,8.108242708365982
obtuse,0.826,84.10722465631669,14.365815191642241
obtuse,0.826,121.84439232878889,17.124570658001776
obtuse,0.826,46.64133661427131,0.02757684520915146
acute,0.534,62.45742382983854,4.996329097740512
acute,0.534,63.51882294517098,5.5906512229588285
acute,0.534,77.67473644219442,6.736982025066076
acute,0.534,100.77822354658001,7.9272027825194336
acute,0.534,116.9143163103008,8.846789835432023
acute,0.534,124.42968149601111,9.23631318912872
acute,0.534,166.64986686797295,9.455573785017245
acute,0.534,170.26035098884262,9.72595524843533
acute,0.534,57.90460780208694,0.0151554874542866
acute,0.6679999999999999,58.5236679313822,7.747726817011542
acute,0.6679999999999999,65.981674889354,9.058111122962659
acute,0.6679999999999999,88.24922468836118,11.025145294207208
acute,0.6679999999999999,102.14822850691942,12.58370866041492
acute,0.6679999999999999,118.70478255818728,12.775022787727224
acute,0.6679999999999999,44.53489832944115,0.0349567905356874
obtuse,0.6679999999999999,76.8116920399445,8.533221468149886
obtuse,0.6679999999999999,122.40295509725998,11.025569870610475
obtuse,0.6679999999999999,139.90105675080102,11.885676748349676
obtuse,0.6679999999999999,154.25600133296632,12.42539827218327
obtuse,0.6679999999999999,59.30443372969672,0.020379667356844135
acute,0.34600000000000003,116.22149767277091,4.0409870805088985
acute,0.34600000000000003,194.51446350253548,5.410150188438291
acute,0.34600000000000003,220.37534812665515,5.619704285525895
acute,0.34600000000000003,321.74792319761644,5.704725205696866
acute,0.34600000000000003,93.65994829032992,0.015194180375234831
obtuse,0.34600000000000003,154.91570240845465,4.142322659510661
obtuse,0.34600000000000003,252.23972662608287,5.30253500490544
obtuse,0.34600000000000003,290.66169755382913,5.524845318256201
obtuse,0.34600000000000003,405.4926655367488,5.7424151458335
obtuse,0.34600000000000003,122.01171271179066,0.0025364677125582643
obtuse,0.534,138.0047069021364,8.629757369460497
obtuse,0.534,76.5849497863948,-0.006453168721865352
